Year,T_Y_AVG (Â°C),K_Y_AVG
2000,11.479838342440804,
2001,12.616461187214602,1.0990103528349977
2002,12.917031963470317,1.0238236991970704
2003,11.316883561643836,0.876121046510395
2004,11.905475865209468,1.05201010511061
2005,12.247351598173507,1.028715839403201
2006,13.178378995433798,1.0760186714488655
2007,12.366552511415529,0.9383970908486119
2008,12.490733151183967,1.0100416538605894
2009,11.854714611872154,0.949080767989065
2010,13.165947488584488,1.110608556987038
2011,13.059075342465752,0.99188268476603
2012,13.6503756830601,1.0452788826994164
2013,12.171198630136985,0.8916383631288075
2014,11.452488584474889,0.9409499370191441
2015,12.538253424657544,1.0948060181133497
2016,13.28111338797814,1.0592474835338468
2017,12.414805936073048,0.9347714738517886
2018,12.159041095890421,0.9793984020773563
2019,12.11449771689498,0.9963366042894208
2020,12.915084244080141,1.0660849955065537
2021,12.801232876712326,0.9911846206175542
2022,12.517876712328755,0.9778649316739605
2023,13.034554794520549,1.0412752173603788
2024,14.289748475609754,1.096297395720555
